village,soil,total_sqft,density,price(*100)
Ruknuddinpur Misri Urf Phaphun,2 index,1000,2,67
Sadharanpur,4 index,2650,4,198
Sadullapur Urf Chandpura,2 index,1192,2,74
Salahpur,3 index,2135,3,215
Salarpur Jalalpur,2 index,1173,2,58
Saleh Nagar,2 index,1020,2,45
Salempur,4 index,3122,6,230
Sameypur,3 index,1600,3,64
Satwai,2 index,1200,2,79
Set Kuan,2 index,1230,2,48
Sewalkhas (NP),2 index,1250,2,40
Shafiabad Loti,2 index,1325,2,76
Shahpur Jainpur,3 index,1850,3,150
Shakarpur,1 index,525,,21.53
Shaulana,2 index,1200,2,65
Shekhpuri,3 index,1350,2,140
Shipura,3 index,1260,3,49.36
Sial,3 index,1800,3,150
Sikarpur,3 index,11,3,74
Sikhera,2 index,1100,2,43.25
Sikri,2 index,1508,2,77
Sindhawali (CT),3 index,1592,3,75
Sisola Buzurg,2 index,1388,2,57
Sisola Khurd,1 index,630,1,28.35
Sisoli,3 index,2000,3,365
Siwal Khas,3 index,1762,3,125
Soharka,2 index,950,2,50
Tatina Sani,4 index,3252,5,335
Thirot,2 index,1116,2,50
Tikri,2 index,1308,2,89.04
Timakia,3 index,1200,3,90
Ukasia,4 index,1500,4,230
Ukhleena,1 index,500,1,18.5
Uldeypur,2 index,1075,2,52
Uldhan,1 index,530,1,11.66
Uplehra,2 index,1205,2,66
Yusufabad,2 index,1075,2,60
Achikalan,2 index,930,2,39
Afjalpur Urf Raninagla,2 index,1380,2,60
Agwanpur,4 index,2483,5,212
Ahmadnagar Badhla,2 index,1166,2,55
Ahmadpur Urf Dandoopur,2 index,1050,2,65
Ahmadpuri Urf Amanpuri,3 index,2023.71,3,275
Aidalpur,2 index,1200,2,46.8
Aidalpur,3 index,1600,2,108
Akbaarpur Khadar,3 index,1935,3,110
Akbarpur Garhi,1 index,451,1,29.9
Akbarpur Ichchhabad,3 index,1800,3,95
Akbarpur Sadat,3 index,1400,3,77
Akheypur,3 index,1801,3,115
Alamgirpur Badhla,2 index,1451,2,90
Alawalpur,2 index,1200,1,36
Alipur Alampur,2 index,1160,2,44
Alipur Morna,2 index,1000,2,25
Amarpur Mazra Khandawli,2 index,950,2,40
Amarsinghpur,3 index,1629,3,79
Ameharasani,3 index,1580,2,134
Aminabad Urf Baragoan,3 index,1826,3,121
Amroli Urf Baragoan,2 index,1245,2,94
Asfabad,2 index,1145,2,45.79
Asilpur,2 index,825,2,33
Askaripur,3 index,1693,3,108
Assa,2 index,1113.27,2,53
Atalpur,2 index,1460,2,58
Atmadpur,2 index,1050,2,32
Attaura,2 index,1260,2,55
Badhwa,6 index,700,3,120
Badhwi,2 index,1656,2,120
Badshahpur,3 index,1208,3,45
Baghpur,3 index,1910,3,161
Bahadurpur,4 index,3252,4,230
Bahorpur,2 index,1200,2,65
Bahsuma (NP),4 index,1200,4,175
Bajampur,2 index,1175,2,82
Bali,2 index,1000,2,165
Bamnaula,4 index,1200,2,125
Bamnauli,3 index,2390,3,410
Bana,7 index,12000,6,2200
Barauda,2 index,550,1,62
Basiviran,1 index,34.46Sq. Meter,1,18.5
Bastora Norang,2 index,1185,2,38
Batawli,2 index,750,2,38
Batnor,6 index,1200,7,250
Behbalpur,3 index,1550,3,64.5
Behjadka,3 index,1760,3,88
Behlolpur,2 index,1125,2,62
Behrora,3 index,1350,3,150
Behsuma,2 index,1000,2,55
Bela,2 index,1090,2,31.48
Bhagawanpur,2 index,1200,2,60
Bhagupur,3 index,1991,4,103
Bhagwanpur Bangar,2 index,1060,2,26.5
Bhagwanpur Khadar,2 index,1105,2,75
Bhainsa,2 index,985,2,67
Bharolli,6 index,1533,5,85
Bhattipura,3 index,1590,3,79
Bhirwara,2 index,1120,2,55
Bhndora,2 index,1069,2,55
Bhogpur,3 index,1933,3,140
Bhojpur,2 index,1194,2,69
Bhuwa,2 index,1150,2,69
Bisola,2 index,1240,2,47.12
Bondra,2 index,1419,2,48.1
Chak Paswara,8 index,1200,8,250
Chamraud,3 index,2150,4,240
Chandlawar Urf Mahalwala,3 index,1450,3,55
Chandpur,3 index,1630,3,68.29
Chhuchai,2 index,708,1,40
Chitwana Sherpur,3 index,1000,4,110
Dabkheri,4 index,11890,4,700
Dabthla,2 index,1250,2,76
Dariapur,3 index,1400,2,95
Daulatpur Urf Mamipur,3 index,1670,2,57
Dayalpur,3 index,1750,3,100
Dayalpur,2 index,1404,2,71
Dedupur,3 index,1715,2,95
Dhanpura,1 index,630,1,34.65
Dhanpura,3 index,1752.12,3,135
Dhikauli,3 index,1650,3,78
Dhuma Nagli,2 index,1295,2,55.47
Dudheli Bangar,3 index,1800,3,252
Dudhli Khadar,2 index,1346,2,74.03
Duperi Chaw,4 index,1200,4,200
Durveshpur,2 index,1150,2,55
Fajilpur,4 index,3309,4,325
Fatehpur Narain,3 index,1190,2,30.35
Fatehpur Prem,3 index,1620,3,98
Firozpur,2 index,950,2,46.96
Ftahpur Hansapur,11 index,5000,9,360
Gagsona,3 index,2450,3,120
Gajraula,3 index,1220,2,35.23
Gajrauli,2 index,850,2,30
Gajupura,2 index,1020,2,63
Ganeshpur,2 index,1100,2,50
Garina,2 index,1150,2,126
Gayanagla Urf Nagla Katar,3 index,1760,2,130
Gazipur,3 index,1800,3,110
Gesupur Januvi,2 index,1070,2,54
Gesupur Shumali,4 index,1500,4,220
Gokulpur,2 index,1440,2,95
Govindpur Sakarpur,2 index,900,2,40
Govindpuri,4 index,1200,4,230
Guramb,2 index,1130,2,42.16
Gurha,2 index,1320,2,165
Hadipur Gaori,2 index,1270,2,98
Haripur,2 index,1200,2,62
Harisinghpur,4 index,4800,4,235
Hasanpur Kalan,2 index,1200,2,74
Hastinapur (NP),2 index,929,2,50.17
Hastinapur Kaurwan,4 index,1150,4,260
Hastinapur Pandwan,4 index,1125,4,180
Hatoopura,5 index,500,3,65
Hazratpur,5 index,1200,5,190
Himaupur,3 index,1464,3,56
Ibrahimpur,4 index,3600,4,400
Ikwara,4 index,2000,4,99
Issapur,2 index,1208,2,49
Jafarpur Nagla,2 index,1130,2,60
Jai,3 index,1753,3,120
Jaisinghpur,5 index,4500,7,337
Jalalpur Jora,3 index,600,3,58
Jalalpur Maqbulpur,2 index,1196,2,94.42
Jalalpur Raunakali,2 index,1150,3,52.5
Jamalpur Khadar,2 index,1128,2,63
Jamalpur-Meghrajpur,2 index,1000,2,53
Jandheri,2 index,1035,2,45
Jarauda,2 index,950,2,32
Jataula,3 index,1075,2,36
Jeetpur,2 index,1040,2,48.5
Jharaka,2 index,720,2,45
Jhijharpur,3 index,1511,3,95
Jhunjhunee,3 index,1300,3,58
Kabirpur,3 index,1545,3,68.75
Kailirampur,1 index,375,2,26
Kandala,2 index,1062,2,38
Kanker Khera,2 index,1115,2,40
Kareempur,2 index,1000,2,35
Kasimpur,2 index,883,2,45
Katra,2 index,1195,2,70
Kayasth Barha,4 index,1200,3,165
Khaikhera,1 index,700,1,41
Khalidpur,2 index,1246,2,67
Khand Awli,4 index,660,4,90
Khanpur Banger,4 index,8500,4,145
Khanpur Garhi,4 index,1600,4,80
Khanwala,4 index,2805,5,154
Kharkhali,3 index,1584,3,65
Khata,4 index,3000,5,275
Khatki,3 index,1175,2,48
Khejuri Alyarpur,3 index,1595,3,115
Kheri Kalan,2 index,1353,2,110
Kheri Khurd,3 index,1599,3,125
Kheri Manihar,2 index,1150,2,70
Kherki Jadid,4 index,5230,6,465
Khijarpur,2 index,1155,2,42.74
Khor Ahir,1 index,1200,2,85
Khorrai,2 index,1000,2,25
Kiratpur,4 index,3000,4,120
Kishanpur,3 index,1867,3,160
Kishanpur Birana,2 index,1251,2,47
Kishorpur,2 index,1028,2,45.5
Kithaur (NP),2 index,1222,2,45
Kithor Rural,3 index,1170,2,66
Kohla,3 index,2400,4,245
Kol,3 index,1385,2,48.48
Kunda,2 index,1372,2,68
Kunehra,3 index,1282,2,49
Kuri Kamalpur,9 index,5000,9,210
Kutubpur,5 index,3000,3,528
Laliyana,2 index,1135,2,39.73
Lalpur,3 index,1768,3,101
Lalpur,3 index,1325,2,90
Latifpur,3 index,1599,3,99
Lutfullapur Baksar,3 index,1500,3,61.95
Machhra,3 index,2610,3,499
Mahamudpur Shikhera,2 index,1286,2,63
Mahmudabad,5 index,2845,5,140
Mahmudpur Garvi,3 index,1600,2,50
Mahmudpur Sherki,2 index,1195 - 1440,2,63.77
Makhannagar,3 index,3450,5,260
Makhdumpur,2 index,1102,2,53.67
Mamipur,2 index,1350,2,54
Mandwari,3 index,1200,2,42
Manoharpur,6 index,1300,6,145
Manpur,2 index,1800,1,80
Manpur,2 index,950,2,40
Matora,1 index,525,1,27.25
Mavi,2 index,656,2,25
Mawana (NPP),4 index,1780,4,175
Mawana Kalan,2 index,1056,2,80
Mawana Khurd,1 index,595,1,33.32
Meerpur,2 index,1080,2,50
Meerpur Sadhunagal,3 index,2225,3,160
Meghrajpur,2 index,1126,2,28.15
Mewa,3 index,1490,3,84
Mirzapur,4 index,2000,4,300
Mishipur,3 index,1550,3,100
Mohammadpur Kheri,3 index,1600,3,86
Mohammadpur Shakist,2 index,1160,2,55
Mor Kalan,4 index,4144,4,315
Morkhurd,3 index,2100,3,125
Mubarikpur,2 index,1404,2,69.3
Mubarikpur,4 index,2230,4,225
Murad Gaon Urf Kuwan Khera,3 index,1544,3,120
Muradpur Urf Sholda,3 index,1305,2,58.7
Muzaffarpur Khunti,2 index,1230,2,80
Nagla Azdi,2 index,1200,2,65
Nagla Chand,3 index,1460,3,73
Nagla Gusai,,1200 - 2400,,34.185
Nagla Hareroo,2 index,967,2,45
Nagla Jarif,1 index,540,1,36
Nagla Salempur,1 index,715,1,46
Nagla Shahu,3 index,2500,3,313
Nagli Abdulla,3 index,1578,3,180
Nagli Issa,2 index,1020,2,48.95
Nagli Khadar,2 index,1020,2,40
Nagli Kithaur,2 index,1253,2,102
Nagori,2 index,1180,2,42
Nai Putha,2 index,961,2,38
Naidru,3 index,1419,3,75
Narangpur,3 index,1709,3,150
Nasarpur,2 index,1600,2,115
Navipur Amanatnagar,1 index,416,1,18.5
Nawal Surajpur,2 index,1100,2,98
Neemka,3 index,1430,2,65
Niloha,2 index,1260,2,45
Nimka Viran,3 index,1630,3,85
Nirawali,3 index,1249,3,44.71
Nityanandpur,3 index,1450,2,85
Paharpur,3 index,2791,3,223
Paharpur Kutub,1 index,600,1,90
Paharpur Ram,1 index,834,1,60
Pali,3 index,1125,4,70
Palra,3 index,2060,3,140
Parichhatgarh,7 index,12000,7,2200
Parikshitgarh (NP),2 index,891,2,25
Partapur Hansapur,2 index,1133,2,49.07
Paswara,3 index,1075,2,37
Pathanpur,4 index,3000,5,260
Penai,4 index,2440,5,425
Phalauda (NP),2 index,1200,2,55
Phalawda Rural,2 index,1075,2,45.8
Phitkari,2 index,1140,2,40
Pilona,5 index,940,4,150
Poothi,6 index,2160,5,250
Rachhoti,2 index,1090,2,42
Radhna Inayatpur,4 index,1500,4,70
Rafan,4 index,4104,4,360
Rahawati,3 index,1790,3,100
Rahmapur,3 index,1920,3,134
Rajoopur,2 index,1374,2,95
Rampur Ghoria,3 index,1445,3,95
Rampur Sadhu Nagli,1 index,711,1,36
Rasulpur Goari,3 index,1500,3,95
Rasulpur Hansapur,3 index,1720,3,100
Rasulpur Ikla,3 index,1400,3,60
Rathaura Khurd,2 index,1030,2,49
Rathora Kalan,2 index,1200,2,85
Rehadra,3 index,1375,3,70
Roopra,2 index,1050,1,56
Rustampur Bhikund,3 index,2250,3,160
Sadarpur,2 index,1000,2,50
Sadullapur,1 index,469,1,25
Sadullapur,4 index,3800,4,250
Saidipur Sadipur Urf Ramnagar,2 index,883,2,29
Saidipur Seth,3 index,1820,2,86
Saifpur Firojpur,3 index,1440,2,65
Saifpur Karamchandpur,6 index,3600,4,160
Sakoti,4 index,2500,5,325
Salah Rasulpur Panah,2 index,1225,2,48
Salarpur,3 index,4000,3,660
Sandhan,2 index,875,2,52.8
Sanota,1 index,750,1,40
Sarai Khadar,2 index,1180,2,80
Sarangpur,2 index,1194,2,47
Sathla,3 index,1500,2,62
Seena,2 index,1160,2,52.2
Shah Kulipur,9 index,4125Perch,9,265
Shahabad Garhi,3 index,2378,3,262
Shahajhapur,2 index,1128,2,60
Shahapur,3 index,1500,3,150
Shahapur Khadar,3 index,1220,2,35.23
Shahipur,2 index,1210,2,58
Shahpur Sultanpur,3 index,1100,2,58
Shahzadpur,3 index,1200,3,46
Shamashpur,4 index,3385,5,260
Shamaspur,3 index,1641,3,66
Sherpur,2 index,1200,2,45
Shikhera,2 index,1260,2,67.39
Shimla,3 index,1720,3,78
Shirjepur,2 index,1120 - 1145,2,48.13
Shivpuri,2 index,1210,2,45.98
Shodatt,4 index,2200,4,200
Sikandarpur,3 index,1075,2,45
Singhpur,3 index,1702,3,130
Sona,2 index,1630,2,200
Sujatpur,2 index,1141,2,38.55
Sultanpur Dabal,3 index,2072,3,108
Tajpura,5 index,4400 - 6640,,375
Takhawali,3 index,1200,2,70
Tarapur,3 index,1350,3,77
Tarbiyatpur Janubi,4 index,3090 - 5002,4,445
Tarbiyatpur Shumali,3 index,1180,2,78.34
Tatina,3 index,35000,3,130
Tigri,2 index,1355,2,115
Tofapur,1 index,600,1,50
Veerkhera,7 index,1200,7,150
Akhtyarpur,3 index,1640,2,120
Alamgirpur-Faridpur,5 index,1200,5,100
Andawali,3 index,1190,2,57
Aterna,4 index,2400,4,375
Atmadnagar Allipur,2 index,1019,2,49.85
Aurangnagar Rardhana,3 index,1875,3,165
Badruddinnagar Nanu,3 index,1250,3,40
Bahadurpur,3 index,1200,3,140
Bahrala,2 index,1140,2,56
Baparsa,3 index,1683,3,109
Baparsi,3 index,1515,3,83.3
Barkali Nekpur,4 index,2118,4,111
Batjeora,4 index,1380,3,58
Bhalsauna,2 index,1083,2,61.75
Bhamori,2 index,600,2,55
Bharota,3 index,2300,3,120
Bhawa-Nagla,2 index,1240,2,60
Bhuni,3 index,1750,3,120
Bihta,2 index,1230,2,43.48
Bubakpur,3 index,1500,3,139
Chandna,2 index,985,2,40.39
Charla,3 index,1500,2,87
Chhabariya,2 index,1125,2,32.49
Chhur,2 index,950,2,44
Chindauritappa Lawar,5 index,4400 - 6800,,548.5
Chirori,3 index,1580,3,76
Dabathuwa,3 index,1092,2,98.5
Dabathuwa Garhi,2 index,1090,2,28.34
Dadri,3 index,2264,3,159
Dahar,3 index,1033,2,25.53
Daulatpur,2 index,810,2,24.5
Daurala (NP),2 index,1045,2,45
Deoli Khera Urf Jainpur,2 index,1337,2,82
Dhanju,2 index,1200,2,32
Dhanwali,3 index,1580,3,160
Dulehra Chauhan,3 index,1500,2,54
Gesupur Baphawat,3 index,1640,4,91
Gotka,3 index,1570,3,62
Harar,3 index,1470,2,82
Ikari,2 index,1160,2,40.61
